순위,곡명,가수,앨범
1,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
2,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
3,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
4,LOVE DIVE,IVE (아이브),LOVE DIVE
5,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
6,SNEAKERS,ITZY (있지),CHECKMATE
7,TOMBOY,(여자)아이들,I NEVER DIE
8,That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
9,POP!,나연 (TWICE),IM NAYEON
10,나의 X에게,경서,나의 X에게
11,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
12,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
13,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
14,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
15,Love story,볼빨간사춘기,Seoul
16,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
17,그라데이션,10CM,5.3
18,내가 아니라도,주호,내가 아니라도
19,LOVE me,BE'O (비오),LOVE me
20,우리들의 블루스,임영웅,IM HERO
21,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
22,Girls,aespa,Girls - The 2nd Mini Album
23,신호등,이무진,신호등
24,That's Hilarious,Charlie Puth,That's Hilarious
25,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
26,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
27,취중고백,김민석 (멜로망스),취중고백
28,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
29,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
30,다시 만날 수 있을까,임영웅,IM HERO
31,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
32,ELEVEN,IVE (아이브),ELEVEN
33,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
34,해요 (2022),#안녕,해요 (2022)
35,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
36,MY BAG,(여자)아이들,I NEVER DIE
37,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
38,Stay,The Kid LAROI & Justin Bieber,Stay
39,무지개,임영웅,IM HERO
40,아버지,임영웅,IM HERO
41,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
42,팡파레,다비치,Season Note
43,A bientot,임영웅,IM HERO
44,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
45,손이 참 곱던 그대,임영웅,IM HERO
46,사랑해 진짜,임영웅,IM HERO
47,GANADARA (Feat. 아이유),박재범,GANADARA
48,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
49,사랑역,임영웅,IM HERO
50,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
51,연애편지,임영웅,IM HERO
52,I LOVE U,WINNER,HOLIDAY
53,아무래도 난,주시크 (Joosiq),아무래도 난
54,Next Level,aespa,Next Level
55,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
56,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
57,보금자리,임영웅,IM HERO
58,사랑해요 그대를,임영웅,IM HERO
59,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
60,인생찬가,임영웅,IM HERO
61,통화연결음,보라미유 & MJ (써니사이드),통화연결음
62,INVU,태연 (TAEYEON),INVU - The 3rd Album
63,Weekend,태연 (TAEYEON),Weekend
64,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
65,Bad Habits,Ed Sheeran,=
66,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
67,너를 생각해,주시크 (Joosiq),너를 생각해
68,Left and Right (Feat. Jung Kook of BTS),Charlie Puth & 정국 & 방탄소년단,Left and Right
69,Blueming,아이유 (IU),Love poem
70,Yet To Come,방탄소년단,Proof
71,Butter,방탄소년단,Butter
72,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
73,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
74,strawberry moon,아이유 (IU),strawberry moon
